Date,Description,Province,City,Industry,Sub Industry,Company Name,Company Ownership,Action Type,Number Of Participants,Employees Demands,Response to Collective Actions
2021-07-08,"Workers protest against wage arrears of a labor agency in Mianyang, Sichuan",Sichuan,Mianyang,Services,,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-07-08,"Delivery workers of STO go on strike in Shenyang, Liaoning",Liaoning,Shenyang,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears/Relocation or Closure,
2021-07-08,"Workers protest against wage arrears of a walnut farm in Yuechi, Sichuan",Sichuan,"Guang,an",Other,Agriculture,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-07-07,"Workers protest against wage arrears of a construction site, mediated by police in Zhoukou, Henan",河南省,周口市,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-07-06,"Workers protest against wage arrears of a construction site in Xinyang, Henan",Henan,Xinyang,Construction,Residential Property,,Private Enterprise,Protest/Threaten to Jump,1-100,Wage Arrears,
2021-07-06,"Workers protest against wage arrears of JD in Harbin, Heilongjiang",Heilongjiang,Harbin,Services,Retail & wholesale,,Joint Venture,Protest,1-100,Wage Arrears,
2021-07-06,Delivery workers of Yunda go on strike in Shanghai,Shanghai,Shanghai,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-07-06,"Delivery workers of Baishi go on strike in Yongzhou, Hunan",Hunan,Yongzhou,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-07-06,Food delivery workers of Meituan go on strike in Shanghai,Shanghai,Shanghai,Transport&Logistics,Food delivery,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-07-05,"Workers protest against wage arrears of a project in Xixiang, Shaanxi",Shanxi,Hanzhong,Other,Agriculture,,Public Institution,Protest,1-100,Wage Arrears,
2021-07-04,Delivery workers of Yunda go on strike against wage arrears in Chongqing,Chongqing,Chongqing,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-07-04,Delivery workers of YTO go on strike against wage arrears in Chongqing,Chongqing,Chongqing,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-07-04,"Delivery workers of Yunda go on strike in Jinan, Shandong",Shandong,Jinan,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-07-03,"Employees of a hospital protest against wage arrears and seek help of the labor bureau in Jieyang, Guangdong",广东省,揭阳市,Services,Medical facilities,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-07-02,"Delivery workers of Yunda go on strike in Changsha, Hunan",Hunan,Changsha,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,,
2021-07-01,Delivery workers of Meituan go on strike in Shanghai,Shanghai,Shanghai,Transport&Logistics,Food delivery,,Joint Venture,Strike/Protest,101-1000,Pay Increase,
2021-07-01,"Workers protest against wage arrears of a Wanda project, turned away by the government in Urumqi, Xinjiang",Xinjiang,Urumqi,Construction,Commercial Property,,SOE,Protest,1-100,Wage Arrears,
2021-07-01,"Delivery workers of YTO go on strike in Guangzhou, Guangdong",Guangdong,Guangzhou,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-06-30,"Workers protest against wage arrears of a construction project in Xiongan, Hebei",Hebei,Baoding,Construction,Commercial Property,,SOE,Protest,1-100,Wage Arrears,
2021-06-30,"Workers protest against wage arrears of a banana farm, mediated by police in Dongfang, Hainan",Hainan,,Other,Agriculture,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-06-30,"Workers protest against wage arrears of a construction site, mediated by police in Chuzhou, Anhui",Anhui,Chuzhou,Construction,,,SOE,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-06-30,"Delivery workers of Baishi go on strike in Lianyungang, Jiangsu",Jiangsu,Lianyungang,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-06-30,"Workers protest against wage arrears of a gym in Nanchong, Sichuan",Sichuan,Nanchong,Services,"Sports and leisure including spa, nail salon etc",,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-06-30,"Workers protest against wage arrears of a restaurant, called police, in Zhuzhou, Hunan",Hunan,Zhuzhou,Services,Hotels & catering,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-06-30,"Workers protest against wage arrears of a sanitation company, mediated by the labor bureau in Anshan, Liaoning",Liaoning,AnShan,Services,Property management & real estate,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-06-29,"Workers protest against wage arrears of an internet company, applied for labor arbitration in Zixi, Jiangxi",江西省,抚州市,Services,Information technology,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-06-29,"Workers protest against wage arrears of a construction site, seek help from labor bureau in Kunming, Yunnan",Yunnan,Kunming,Construction,Infrastructure,,SOE,Protest,1-100,Wage Arrears,
2021-06-28,"Taxi drivers filed collective lawsuits against illegal fees of the companies in Zhangzhou, Fujian",Fujian,Zhangzhou,Transport&Logistics,Taxi,,Private Enterprise,Protest,1001-10000,Management Supervision/Other,Government Intervention
2021-06-28,"Workers protest against wage arrears of a maritime engineering company, beaten, in Daishan, Zhejiang",Zhejiang,Zhoushan,Other,,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management/Violence against workers
2021-06-27,"Workers protest against wage arrears of a toy factory in Pingxiang, Hebei",Hebei,Xingtai,Manufacturing,Toys,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-06-27,"Workers protest against wage arrears, mediated by the labor bureau in Anshan, Liaoning",Liaoning,AnShan,Services,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-06-27,"Delivery workers of Baishi go on strike against wage arrears un Xiamen, Fujian",Fujian,Xiamen,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-06-27,"Taxi drivers protest against illegal contracts in Yingshan, Sichuan",Sichuan,Nanchong,Transport&Logistics,Taxi,,Private Enterprise,,1-100,Management Supervision,
2021-06-27,"Workers protest against wage arrears of a government project in Yanshan, Jiangxi",Jiangxi,Shangrao,Construction,Commercial Property,,Public Institution,Protest,1-100,Wage Arrears,
2021-06-26,"Delivery workers of Yunda go on strike in Xian, Shaanxi",Shanxi,"Xi,an",Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,,
2021-06-26,"Food delivery workers of Eleme go on strike in Hefei, Anhui",Anhui,Hefei,Transport&Logistics,Food delivery,,Joint Venture,Strike/Protest,101-1000,Pay Increase,
2021-06-26,"Workers protest against wage arrears of a construction site in Yinchuan, Ningxia",Ningxia,Yinchuan,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-06-25,"Workers protest against wage arrears of a construction site in Xiangning, Shanxi",Shanxi,Linfen,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-06-25,Eleme food delivery workers go on strike in Shanghai,Shanghai,Shanghai,Transport&Logistics,Food delivery,,Joint Venture,Strike/Protest,101-1000,Pay Increase,
2021-06-25,"Delivery workers of Baishi go on strike in Dalian, Liaoning",Liaoning,Dalian,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-06-25,Workers protest against wage arrears of an agricultural company in Chongqing,Chongqing,Chongqing,Manufacturing,Agricultural and Food Processing,,Private Enterprise,Protest,101-1000,Wage Arrears,Negotiations with Management
2021-06-24,"Food delivery workers of Meituan go on strike in Chengdu, Sichuan",Sichuan,Chengdu,Transport&Logistics,Food delivery,,Joint Venture,Strike/Protest,101-1000,Pay Increase,
2021-06-24,"Taxi drivers protest to demand for refund of tax charges in Hongan, Hubei",Hubei,Huanggang,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Other,Government Intervention/Negotiations with Management
2021-06-24,"Workers protest against wage arrears of a construction site in Xuzhou, Jiangsu",Jiangsu,Xuzhou,Construction,Residential Property,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-06-23,"Delivery workers go on strike in Chengdu, Sichuan",Sichuan,Chengdu,Transport&Logistics,Courier,,Unknown,Strike/Protest,101-1000,Wage Arrears,
2021-06-23,"Workers go on strike to protest against wage arrears of a gym in Nanjing, Jiangsu",Jiangsu,Nanjing,Services,"Sports and leisure including spa, nail salon etc",,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-06-23,"Workers protest against wage arrears of a cement company, mediated by the court in Kaili, Guizhou",Guizhou,Qiandongnan,Transport&Logistics,Haulage,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-06-23,"Decoration workers protest against wage arrears of an apartment management company in Hanzhong, Shaanxi",Shanxi,Hanzhong,Services,Property management & real estate,,Private Enterprise,Protest,1-100,Wage Arrears/Relocation or Closure,Negotiations with Management
2021-06-23,"Workers protest against wage arrears, apply for arbitration  in Xian, Shaanxi",Shanxi,"Xi,an",Services,,,Private Enterprise,Protest,1-100,Wage Arrears/Relocation or Closure,Government Intervention/Negotiations with Management
2021-06-22,"Delivery workers of Baishi go on  strike against wage arrears in Luoyang, Henan",Henan,Luoyang,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-06-22,"Delivery workers of STO go on strike in Yichang, Hubei",Hubei,Yichang,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-06-22,"Workers protest against wage arrears of a fruit retailer in Heze, Shandong",Shandong,Heze,Services,Retail & wholesale,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-06-22,"Delivery workers go on strike to protest against wage arrears of Baishi, in Luoyang, Henan",Henan,Luoyang,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-06-22,"Workers protest against wage arrears of a school after closure in Xian, Shaanxi",Shanxi,"Xi,an",Education,"Continuing education, tutoring",,Private Enterprise,Protest,1-100,Wage Arrears/Relocation or Closure,Negotiations with Management
2021-06-22,"Delivery workers of Yunda go on strike in Duyun, Guizhou",Guizhou,Qiannan,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,,
2021-06-22,"Workers protest against wage arrears of a construction site in Ankang, Shaanxi",Shanxi,Ankang,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-06-21,"Workers protest against wage arrears of a construction site, seek for help at the labor bureau in Nanjing, Jiangsu",Jiangsu,Nanjing,Construction,,,Unknown,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-06-21,"Workers protest against wage arrears of a construction site in Nanbu, Sichuan",Sichuan,Nanchong,Construction,,,Public Institution,Protest,1-100,Wage Arrears,
2021-06-21,"Workers protest against wage arrears of a construction project in Xuchang, Henan",Henan,Xuchang,Construction,Residential Property,,SOE,Protest,101-1000,Wage Arrears,Negotiations with Management
2021-06-21,Delivery workers go on strike against wage arrears of Yunda in Beijing,Beijing,Beijing,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-06-21,"Workers protest against wage arrears of an apparel factory, seek help of labor bureau in Yangchun, Guangdong",Guangdong,Yangjiang,Manufacturing,Apparel,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention
2021-06-20,"Workers protest against wage arrears of a pharmaceutical factory, mediated by the court, in Kaili, Guizhou",Guizhou,Qiandongnan,Manufacturing,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-06-19,"Workers protest against wage arrears of a bakery chain, apply for arbitration in Shanghai",Shanghai,Shanghai,Services,Hotels & catering,,Private Enterprise,Protest,1-100,Wage Arrears/Relocation or Closure,Government Intervention/Negotiations with Management
2021-06-19,"Workers protest against wage arrears of a construction site, mediated by police in Changsha, Hunan",Hunan,Changsha,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-06-18,"Taxi drivers protest to demand for higher rates in Hailun, Heilongjiang",Heilongjiang,Suihua,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Pay Increase,Negotiations with Management
2021-06-18,"Workers protest against wage arrears of an electronic factory in Jining, Shandong",Shandong,Jining,Manufacturing,Electronics,,Foreign,Protest,1-100,Wage Arrears,Negotiations with Management
2021-06-17,"Workers protest against wage and social security arrears of Baoneng group in Shenzhen, Guangdong",Guangdong,Shenzhen,Manufacturing,,,Private Enterprise,Protest,101-1000,Wage Arrears/Social Insurance,
2021-06-17,"Workers protest against wage arrears, apply for arbitration in Hefei, Anhui",Anhui,Hefei,Other,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-06-16,"Workers protest against wage arrears of a construction site, report to police, in Tongcheng, Anhui",Anhui,Anqing,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-06-16,"Workers of a domestic service company protest against wage arrears in Xingtai, Hebei",Hebei,Xingtai,Services,Domestic services,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-06-16,"Workers protest against wage arrears, seek help from the labor bureau in Nanchang, Jiangxi",Jiangxi,Nanchang,Construction,Commercial Property,,SOE,Protest,1-100,Wage Arrears,
2021-06-16,"Delivery workers of STO go on strike in Nanjing, Jiangsu",Jiangsu,Nanjing,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-06-15,"Workers protest against wage arrears of a clothe factory, mediated by the court in Hua, Henan",Henan,Anyang,Manufacturing,Apparel,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-06-14,"Workers protest against wage arrears, mediated by police, in Changsha, Hunan",Hunan,Changsha,Construction,,,Unknown,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-06-13,"Workers protest against wage arrears of a construction site in Qianxi, Guizhou",Guizhou,bijieshi,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-06-11,"Workers protest against wage arrears of a show company, fired after reported to the labor bureau, in Changchun, Jilin",Jilin,Changchun,Services,Media,,Private Enterprise,Protest,1-100,Wage Arrears/Layoffs,Government Intervention
2021-06-11,"Workers of local media protest against wage arrears, file lawsuit in Mudanjiang, Heilongjiang",Heilongjiang,Mudanjiang,Services,Media,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management
2021-06-11,"Workers protest against wage arrears of a construction site, one died after jumping off building, in Zhuzhou, Hunan",Hunan,Zhuzhou,Construction,Residential Property,,SOE,Protest/Threaten to Jump,1-100,Wage Arrears,
2021-06-11,Employees protest against wage arrears of a real estate company in Beijing,Beijing,Beijing,Services,Property management & real estate,,SOE,Protest,1-100,Wage Arrears,
2021-06-11,"Workers protest against wage arrears of a construction site, mediated by the government in Litang, Sichuan",Sichuan,Garze,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-06-11,"Workers protest against wage arrears of  a construction project, mediated by police, in Beihai, Guangxi",Guangxi,Beihai,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-06-10,"Workers protest against wage arrears of a project in Xiangtan, Hunan",Hunan,Xiangtan,Construction,Infrastructure,,Unknown,Protest,1-100,Wage Arrears,Negotiations with Management
2021-06-10,"Workers protest against wage arrears of a decoration project in Nantong, Jiangsu",Jiangsu,Nantong,Construction,Interior Decoration,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-06-10,"Workers protest wage arrears of a construction site, mediated by police in Tieling, Liaoning",Liaoning,Tieling,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-06-09,"Workers protest against wage arrears of a hospital in Binzhou, Shandong",Shandong,Binzhou,Services,Medical facilities,,Public Institution,Protest,1-100,Wage Arrears,
2021-06-09,"YTO workers go on strike to protest against wage arrears in Shenzhen, Guangdong",Guangdong,Shenzhen,Transport&Logistics,Courier,,Joint Venture,Strike/Protest,101-1000,Wage Arrears,
2021-06-09,"Workers protest against wage arrears of a construction site, filed a lawsuit in Fuyu, Jilin",Jilin,Songyuan,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-06-08,"Workers protest against wage arrears of a construction company in Qingdao, Shandong",Shandong,Qingdao,Construction,Interior Decoration,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention
2021-06-08,"Workers protest against wage arrears of an investment company, apply for arbitration, in Beijing",Beijing,Beijing,Services,,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-06-08,"Workers protest against wage arrears of a construction site in Xinzheng, Henan",Henan,Zhengzhou,Construction,Commercial Property,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-06-08,"Workers protest against wage arrears of a drug store, mediate by the labor bureau in Linying, Henan",Henan,Luohe,Services,Retail & wholesale,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-06-07,"Workers protest against wage arrears of a construction site in Kangbao, Hebei",河北省,张家口市,Construction,Residential Property,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-06-06,"Workers protest against wage arrears, complain government of not helping in Baishui, Shaanxi",陕西省,渭南市,Construction,,,Unknown,Protest,1-100,Wage Arrears,
2021-06-06,"Workers protest against wage arrears of a construction site, seek help from labor bureau in Zhuzhou, Hunan",Hunan,Zhuzhou,Construction,Residential Property,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention
2021-06-04,"Workers protest against wage arrears of a construction site in Yihan, Sichuan",Sichuan,Dazhou,Construction,,,SOE,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-06-03,"Workers protest against wage arrears of a construction project in Yunfu, Guangdong",广东省,云浮市,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-06-03,"Workers protest against wage arrears of a construction site, mediated by police, in Wugang, Henan",Henan,Pingdingshan,Construction,,,Private Enterprise,Protest,101-1000,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-06-02,"Workers protest against wage arrears, seek for government help in Panjin, Liaoning",Liaoning,Panjin,Construction,,,Unknown,Protest,1-100,Wage Arrears,Government Intervention
2021-06-02,"Workers protest against wage arrears of a construction site in Ningyuan, Hunan",Hunan,Yongzhou,Construction,Interior Decoration,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-06-01,"Workers protest to demand for injury compensation in Xi, Henan",Henan,Xinyang,Construction,Residential Property,,Private Enterprise,Protest,1-100,Compensation,Negotiations with Management
2021-06-01,"Workers protest against wage arrears of a construction site in Jiaozuo, Henan",Henan,Jiaozuo,Construction,Residential Property,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management
2021-06-01,"Food delivery workers go on strike to protest against wage decrease in Anning, Yunnan",Yunnan,Kunming,Transport&Logistics,Courier,,Joint Venture,Strike/Protest,101-1000,Pay Increase,Negotiations with Management
2021-06-01,"Workers protest against wage arrears in Tangyuan, Heilongjiang",Heilongjiang,Jiamusi,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-06-01,"Workers protest against wage arrears of a construction site in Yinchuan, Ningxia",Ningxia,Yinchuan,Construction,,,Public Institution,Protest,1-100,Wage Arrears,
2021-05-31,"Workers go on strike to protest against wage arrears of YTO in Shenzhen, Guangdong",广东省,深圳市,Transport&Logistics,Courier,,Joint Venture,Strike/Protest,1-100,Wage Arrears,
2021-05-31,"Workers protest against wage arrears of a bag company, reported to police in Leiyang, Hunan",Hunan,Hengyang,Services,Retail & wholesale,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Police
2021-05-31,"Workers protest against wage arrears of an electronic factory, mediated by the government, in Dongguan, Guangdong",Guangdong,Dongguan,Manufacturing,Electronics,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-05-30,"Workers protest against wage arrears of a construction site in Changshu, Jiangsu",江苏省,苏州市,Construction,Residential Property,,SOE,Protest,1-100,Wage Arrears,
2021-05-30,"Workers protest against wage arrears of a construction site in Changchun, Jilin",吉林省,长春市,Construction,Commercial Property,,SOE,Protest,1-100,Wage Arrears,
2021-05-30,"Employees protest against wage arrears of an auto company in Anyang, Henan",Henan,Anyang,Manufacturing,Automotive,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-05-29,"Interns protest against wage arrears of a factory in Feixi, Anhui",Anhui,Hefei,Manufacturing,,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-05-28,"Workers protest against wage arrears of a construction site in Changzhou, Jiangsu",Jiangsu,Changzhou,Construction,Commercial Property,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management/Police
2021-05-28,"Taxi drivers protest against requirements of changing electric vehicles, in Tangshan, Hebei",Hebei,Tangshan,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Management Supervision,Government Intervention
2021-05-28,"Workers protest against wage arrears of a construction project in Shenqiu, Henan",河南省,周口市,Construction,Commercial Property,,SOE,Protest,1-100,Wage Arrears,
2021-05-28,"Workers protest against wage arrears of a construction site, mediated by the court in Hanshan, Anhui",Anhui,"Ma,anshan",Construction,,,Joint Venture,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-05-28,"Workers protest against wage arrears of a construction site in Nantong, Jiangsu",Jiangsu,Nantong,Construction,Commercial Property,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-05-27,"Workers protest against wage arrears of a factory in Huizhou, Guangdong",Guangdong,Huizhou,Manufacturing,,,Private Enterprise,Protest,101-1000,Wage Arrears,
2021-05-27,"Workers protest against wage arrears of a construction site in Xian, Shaanxi",Shanxi,"Xi,an",Construction,,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management
2021-05-27,"Workers protest against wage arrears of a delivery company in Changchun, Jilin",Jilin,Changchun,Transport&Logistics,Courier,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-05-27,"Workers protest against wage arrears, apply for arbitration, of a game company in Shanghai",Shanghai,Shanghai,Services,Information technology,,Private Enterprise,Protest,101-1000,Wage Arrears,Negotiations with Management
2021-05-27,"Workers protest against wage arrears of a construction site in Xian, Shaanxi",Shanxi,"Xi,an",Construction,Residential Property,,SOE,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-05-27,Coders protest against wage arrears of an internet company in Shanghai,Shanghai,Shanghai,Services,Information technology,,Private Enterprise,Protest,1-100,Wage Arrears/Compensation,Government Intervention/Negotiations with Management
2021-05-27,"Workers protest against wage arrears of a gym after closure in Jinan, Shandong",Shandong,Jinan,Services,"Sports and leisure including spa, nail salon etc",,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-05-25,"Workers protest against wage arrears after fired by an auto retailer in Jiujiang, Jiangxi",Jiangxi,Jiujiang,Services,Retail & wholesale,,Private Enterprise,Protest,1-100,Wage Arrears/Layoffs,
2021-05-25,"Workers protest against wage arrears of a construction project in Xian, Shaanxi",Shanxi,"Xi,an",Construction,Commercial Property,,SOE,Protest,1-100,Wage Arrears,Government Intervention
2021-05-25,"Taxi drivers protest against pressures from government and the company after demanded for property rights, in Panzhihua, Sichuan",Sichuan,Panzhihua,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Management Supervision/Other,Government Intervention
2021-05-25,"Taxi drivers protest against fees and insurances in Zhengzhou, Henan",Henan,Zhengzhou,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Management Supervision/Other,Government Intervention/Negotiations with Management/Police
2021-05-24,"Taxi drivers protest against shared electric bikes in Dongkou, Hunan",Hunan,Shaoyang,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Other,Government Intervention
2021-05-24,"Workers protest against wage arrears of a furniture factory by apply for arbitration, in Yancheng, Jiangsu",Jiangsu,Yancheng,Manufacturing,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-05-23,"Workers protest against wage arrears of Henan Broadcast in Zhengzhou, Henan",Henan,Zhengzhou,Services,Telecommunications,,SOE,Protest,101-1000,Wage Arrears,
2021-05-23,"Workers protest against wage arrears of a school in Nanchang, Jiangxi",Jiangxi,Nanchang,Education,"Continuing education, tutoring",,Private Enterprise,Protest,1-100,Wage Arrears,
2021-05-23,"Workers protest against wage arrears of a media company in Jinan, Shandong",Shandong,Jinan,Services,Media,,Private Enterprise,Protest,1-100,Wage Arrears/Social Insurance,
2021-05-23,"Workers protest against wage arrears of a gym in Nanjing, Jiangsu",江苏省,南京市,Services,"Sports and leisure including spa, nail salon etc",,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-05-23,"Workers protest against wage arrears of a labor company in Lianyungang, Jiangsu",Jiangsu,Lianyungang,Construction,,,Private Enterprise,Protest,0,Wage Arrears/Social Insurance,Negotiations with Management
2021-05-22,"Taxi drivers protest by collective lawsuit for property rights in Gushi, Henan",Henan,Xinyang,Transport&Logistics,Taxi,,Private Enterprise,Protest,1-100,Management Supervision/Other,Negotiations with Management
2021-05-21,"Worker seeks help on Weibo of wage arrears in Jimsar, Xinjiang",Xinjiang,Changji,Construction,,,Unknown,Protest/Threaten to Jump,1-100,Wage Arrears,
2021-05-21,"Workers protest against wage arrears of a decoration company in Zhongshan, Guangdong",Guangdong,Zhongshan,Construction,Interior Decoration,,Private Enterprise,Protest,1-100,Wage Arrears/Relocation or Closure,
2021-05-21,"Meituan food delivery workers protest against management rules by setting the suit on fire in Weinan, Shaanxi",Shanxi,Weinan,Transport&Logistics,Food delivery,,Joint Venture,Protest,1-100,Pay Increase/OT/Working Conditions/Management Supervision,
2021-05-21,"Workers protest against wage arrears of a car washing service, mediated by the labor bureau, in Pengxi, Sichuan",Sichuan,Suining,Services,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-05-21,"Workers protest against wage arrears of a construction site in Xinfeng, Jiangxi",Jiangxi,Ganzhou,Construction,Residential Property,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-05-21,Workers protest against wage arrears of an internet company after closure in Beijing,Beijing,Beijing,Services,Information technology,,Private Enterprise,Protest,1-100,Wage Arrears/Relocation or Closure,
2021-05-20,"Workers protest against wage arrears of a construction site in Wenzhou, Zhejiang",Zhejiang,Wenzhou,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-05-20,"Workers protest against wage arrears of a restaurant in Fangchenggang, Guangxi",Guangxi,Fangchenggang,Services,Hotels & catering,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-05-20,"Workers protest against wage arrears of a construction site in Wenzhou, Zhejiang",Zhejiang,Wenzhou,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-05-20,"Workers protest against wage arrears of a factory, apply for arbitration in Jinan, Shandong",Shandong,Jinan,Manufacturing,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention
2021-05-19,"Delivery workers go on strike in Guiyang, Guizhou",贵州省,贵阳市,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-05-19,"Workers protest against wage arrears of a gym after closure in Lanzhou, Gansu",Gansu,Lanzhou,Services,"Sports and leisure including spa, nail salon etc",,Private Enterprise,Protest,1-100,Wage Arrears/Relocation or Closure,
2021-05-19,"Taxi drivers protest against illegal fees and demand for property rights in Kunshan, Jiangsu",Jiangsu,Suzhou,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Management Supervision/Other,
